UF;COD;NOME;POPULACAO
RO;11;Rondônia;1581196
AC;12;Acre;830018
AM;13;Amazonas;3941613
RR;14;Roraima;636707
PA;15;Pará;8120131
AP;16;Amapá;733759
TO;17;Tocantins;1511460
MA;21;Maranhão;6776699
PI;22;Piauí;3271199
CE;23;Ceará;8794957
RN;24;Rio Grande do Norte;3302729
PB;25;Paraíba;3974687
PE;26;Pernambuco;9058931
AL;27;Alagoas;3127683
SE;28;Sergipe;2210004
BA;29;Bahia;14141626
MG;31;Minas Gerais;20539989
ES;32;Espírito Santo;3833712
RJ;33;Rio de Janeiro;16055174
SP;35;São Paulo;44411238
PR;41;Paraná;11444380
SC;42;Santa Catarina;7610361
RS;43;Rio Grande do Sul;10882965
MS;50;Mato Grosso do Sul;2757013
MT;51;Mato Grosso;3658649
GO;52;Goiás;7056495
DF;53;Distrito Federal;2817381
